"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c","Errors"
"a01g800000oK0dpAAC","HEL-BATCH-029","18","2026-02-17","HS2024-52","1241","#N/A"
"a01g800000oK0dqAAC","HEL-BATCH-030","18","2026-03-08","HS2026-25","2427","#N/A"
"a01g800000oK0drAAC","HEL-BATCH-031","28","2026-01-13","HS2024-28","3705","#N/A"
"a01g800000oK0dsAAC","HEL-BATCH-032","25","2025-12-29","HS2026-42","3739","#N/A"
"a01g800000oK0dtAAC","HEL-BATCH-033","28","2025-11-18","HS2024-01","2722","#N/A"
"a01g800000oK0duAAC","HEL-BATCH-034","18","2025-11-05","HS2026-28","2199","#N/A"
"a01g800000oK0dvAAC","HEL-BATCH-035","31","2025-11-12","HS2026-27","4251","#N/A"
"a01g800000oK0dwAAC","HEL-BATCH-036","23","2025-10-22","HS2026-77","3855","#N/A"
"a01g800000oK0dxAAC","HEL-BATCH-037","13","2025-11-25","HS2026-19","4290","#N/A"
"a01g800000oK0dyAAC","HEL-BATCH-038","12","2025-12-24","HS2025-03","1477","#N/A"
"a01g800000oK0dzAAC","HEL-BATCH-039","23","2026-01-27","HS2025-10","4077","#N/A"
"a01g800000oK0e0AAC","HEL-BATCH-040","23","2026-03-12","HS2025-09","2778","#N/A"
"a01g800000oK0e1AAC","HEL-BATCH-041","22","2025-11-19","HS2025-44","2726","#N/A"
"a01g800000oK0e2AAC","HEL-BATCH-042","9","2026-01-16","HS2024-82","2726","#N/A"
"a01g800000oK0e3AAC","HEL-BATCH-043","18","2025-11-20","HS2024-29","3367","#N/A"
"a01g800000oK0e4AAC","HEL-BATCH-044","19","2025-10-30","HS2025-70","2258","#N/A"
"a01g800000oK0e5AAC","HEL-BATCH-045","21","2026-02-17","HS2025-25","3055","#N/A"
"a01g800000oK0e6AAC","HEL-BATCH-046","13","2025-11-28","HS2025-42","4153","#N/A"
"a01g800000oK0e7AAC","HEL-BATCH-047","23","2025-10-21","HS2026-74","3564","#N/A"
"a01g800000oK0e8AAC","HEL-BATCH-048","10","2026-02-09","HS2024-24","2798","#N/A"
"a01g800000oK0e9AAC","HEL-BATCH-049","14","2026-03-14","HS2026-09","2160","#N/A"
"a01g800000oK0eAAAS","HEL-BATCH-050","10","2026-02-06","HS2026-90","4574","#N/A"
"a01g800000oK0eBAAS","HEL-BATCH-051","15","2026-01-04","HS2024-11","3060","#N/A"
"a01g800000oK0eCAAS","HEL-BATCH-052","16","2026-03-01","HS2024-97","2604","#N/A"
"a01g800000oK0eDAAS","HEL-BATCH-053","23","2025-11-12","HS2024-39","1420","#N/A"
"a01g800000oK0eEAAS","HEL-BATCH-054","12","2026-03-07","HS2026-33","4264","#N/A"
"a01g800000oK0eFAAS","HEL-BATCH-055","28","2026-01-08","HS2024-10","2953","#N/A"
"a01g800000oK0eGAAS","HEL-BATCH-056","23","2025-10-31","HS2025-76","2660","#N/A"
"a01g800000oK0eHAAS","HEL-BATCH-057","15","2025-11-20","HS2026-10","2160","#N/A"
"a01g800000oK0eIAAS","HEL-BATCH-058","31","2026-01-14","HS2024-04","4263","#N/A"
"a01g800000oK0eJAAS","HEL-BATCH-059","27","2025-10-29","HS2026-19","2320","#N/A"
"a01g800000oK0eKAAS","HEL-BATCH-060","17","2025-12-22","HS2025-88","3388","#N/A"
"a01g800000oK0eLAAS","HEL-BATCH-061","15","2026-02-07","HS2025-82","3415","#N/A"
"a01g800000oK0eMAAS","HEL-BATCH-062","14","2026-01-05","HS2026-51","4721","#N/A"
"a01g800000oK0eNAAS","HEL-BATCH-063","22","2025-10-25","HS2025-36","4418","#N/A"
"a01g800000oK0eOAAS","HEL-BATCH-064","15","2026-01-12","HS2026-83","2585","#N/A"
"a01g800000oK0ePAAS","HEL-BATCH-065","32","2026-02-03","HS2026-33","1006","#N/A"
"a01g800000oK0eQAAS","HEL-BATCH-066","9","2025-11-06","HS2025-01","2689","#N/A"
"a01g800000oK0eRAAS","HEL-BATCH-067","21","2025-12-21","HS2025-92","2947","#N/A"
"a01g800000oK0eSAAS","HEL-BATCH-068","14","2026-02-12","HS2025-85","3243","#N/A"
"a01g800000oK0eTAAS","HEL-BATCH-069","25","2025-12-18","HS2024-84","4118","#N/A"
"a01g800000oK0eUAAS","HEL-BATCH-070","24","2025-12-01","HS2025-11","1703","#N/A"
"a01g800000oK0eVAAS","HEL-BATCH-071","23","2026-01-13","HS2024-07","4793","#N/A"
"a01g800000oK0eWAAS","HEL-BATCH-072","20","2025-12-17","HS2025-94","920","#N/A"
"a01g800000oK0eXAAS","HEL-BATCH-073","19","2026-01-03","HS2024-55","4188","#N/A"
"a01g800000oK0eYAAS","HEL-BATCH-074","20","2026-03-09","HS2025-94","4635","#N/A"
"a01g800000oK0eZAAS","HEL-BATCH-075","17","2026-02-07","HS2026-60","1154","#N/A"
"a01g800000oK0eaAAC","HEL-BATCH-076","26","2026-02-24","HS2026-44","3167","#N/A"
"a01g800000oK0ebAAC","HEL-BATCH-077","10","2026-01-03","HS2025-24","3141","#N/A"
"a01g800000oK0ecAAC","HEL-BATCH-078","10","2026-02-12","HS2024-29","3114","#N/A"
"a01g800000oK0edAAC","HEL-BATCH-079","31","2026-01-01","HS2024-15","1093","#N/A"
"a01g800000oK0eeAAC","HEL-BATCH-080","19","2026-02-25","HS2026-94","1691","#N/A"
