External_Id__c,Installation__r.External_Id__c,Quantity__c,Arrival_Date__c,Serial_Prefix__c,Cost__c
HEL-BATCH-071,HEL-INST-028,23,2026-01-13,HS2024-07,4793.00
HEL-BATCH-072,HEL-INST-028,20,2025-12-17,HS2025-94,920.00
HEL-BATCH-073,HEL-INST-029,19,2026-01-03,HS2024-55,4188.00
HEL-BATCH-074,HEL-INST-029,20,2026-03-09,HS2025-94,4635.00
HEL-BATCH-075,HEL-INST-029,17,2026-02-07,HS2026-60,1154.00
HEL-BATCH-076,HEL-INST-030,26,2026-02-24,HS2026-44,3167.00
HEL-BATCH-077,HEL-INST-030,10,2026-01-03,HS2025-24,3141.00
HEL-BATCH-078,HEL-INST-018,10,2026-02-12,HS2024-29,3114.00
HEL-BATCH-079,HEL-INST-019,31,2026-01-01,HS2024-15,1093.00
HEL-BATCH-080,HEL-INST-020,19,2026-02-25,HS2026-94,1691.00
