"Id","External_Id__c","Quantity__c","Arrival_Date__c","Serial_Prefix__c","Cost__c"
"IWB0TU9MM3IUHDJYA6","HEL-BATCH-039","23","2026-01-27","HS2025-10","4077.00"
"HNIKDBHQ2MH09LPTVL","HEL-BATCH-040","23","2026-03-12","HS2025-09","2778.00"
"PVBXHXDXJS8UZWKOSI","HEL-BATCH-041","22","2025-11-19","HS2025-44","2726.00"
"4GEAD6CSZDU2IQJIZ4","HEL-BATCH-042","9","2026-01-16","HS2024-82","2726.00"
"QV5ILFXRUSDE4AFWTM","HEL-BATCH-043","18","2025-11-20","HS2024-29","3367.00"
"SWWUQYPOLYMNM1GUNM","HEL-BATCH-044","19","2025-10-30","HS2025-70","2258.00"
"VXQOMYEESRIXBUFY69","HEL-BATCH-045","21","2026-02-17","HS2025-25","3055.00"
"MYCAOKCLGSTPD8KN5L","HEL-BATCH-046","13","2025-11-28","HS2025-42","4153.00"
"ZBJHMCPK4OXUIFLNMX","HEL-BATCH-047","23","2025-10-21","HS2026-74","3564.00"
"OSJMFHNTUBRMJBIPZG","HEL-BATCH-048","10","2026-02-09","HS2024-24","2798.00"
"PXBULVCP4X3EKMUQ3C","HEL-BATCH-049","14","2026-03-14","HS2026-09","2160.00"
"1WY4GZINUMXCNUG4N6","HEL-BATCH-050","10","2026-02-06","HS2026-90","4574.00"
"Y0YJPE9S5ITCNQ9PWK","HEL-BATCH-051","15","2026-01-04","HS2024-11","3060.00"
"06O96NJHEZG1PGMRHX","HEL-BATCH-052","16","2026-03-01","HS2024-97","2604.00"
"R10Z2BYAJ7PDF9JIUO","HEL-BATCH-053","23","2025-11-12","HS2024-39","1420.00"
"PSKJ2MW5DHNPDDEDN6","HEL-BATCH-054","12","2026-03-07","HS2026-33","4264.00"
"KZO51MCYMAZAPIBL9H","HEL-BATCH-055","28","2026-01-08","HS2024-10","2953.00"
"YUETSAZKIHCBQBOCFH","HEL-BATCH-056","23","2025-10-31","HS2025-76","2660.00"
"T6T8QYZ85Q5GI7NNG5","HEL-BATCH-057","15","2025-11-20","HS2026-10","2160.00"
"CBCR8CUCX19DYQLS7X","HEL-BATCH-058","31","2026-01-14","HS2024-04","4263.00"
"9ZQSHLZJVFGSYXXU8O","HEL-BATCH-059","27","2025-10-29","HS2026-19","2320.00"
"ES9FJU9FMLBJCMFINY","HEL-BATCH-060","17","2025-12-22","HS2025-88","3388.00"
"A7WRMKDX4MFQQU5D5F","HEL-BATCH-061","15","2026-02-07","HS2025-82","3415.00"
"8NP4KCWUDMCMOQIVFL","HEL-BATCH-062","14","2026-01-05","HS2026-51","4721.00"
"BGB4ARWQVZKOBLP3JS","HEL-BATCH-063","22","2025-10-25","HS2025-36","4418.00"
"ZJNT9LVVLY8HYTI0BC","HEL-BATCH-064","15","2026-01-12","HS2026-83","2585.00"
"VTAHFDZSMUFDEJU5VJ","HEL-BATCH-065","32","2026-02-03","HS2026-33","1006.00"
"RWWLCQQIKAVP6WMEUS","HEL-BATCH-066","9","2025-11-06","HS2025-01","2689.00"
"85SKU168L8QKW62TBR","HEL-BATCH-067","21","2025-12-21","HS2025-92","2947.00"
"OSBBJUF6DZMDUOCLFZ","HEL-BATCH-068","14","2026-02-12","HS2025-85","3243.00"
"X8SQGIGPF38FXHQWYA","HEL-BATCH-069","25","2025-12-18","HS2024-84","4118.00"
"940W22KH2DVCBIYKPM","HEL-BATCH-070","24","2025-12-01","HS2025-11","1703.00"
"LM6X40JIO01JEUCIVY","HEL-BATCH-071","23","2026-01-13","HS2024-07","4793.00"
"IGV8VM4TG26QMWGUXE","HEL-BATCH-072","20","2025-12-17","HS2025-94","920.00"
"3P8SDTFUCIUR7KXVSD","HEL-BATCH-073","19","2026-01-03","HS2024-55","4188.00"
"OXYGPRV0YEHA9I6XIV","HEL-BATCH-074","20","2026-03-09","HS2025-94","4635.00"
"WLRXMPERHNOP2EB7ES","HEL-BATCH-075","17","2026-02-07","HS2026-60","1154.00"
"MCXBD4KIAHJCDIEXRI","HEL-BATCH-076","26","2026-02-24","HS2026-44","3167.00"
"PMNXZOD5TG7CYCXLJO","HEL-BATCH-077","10","2026-01-03","HS2025-24","3141.00"
"GMOJV7R7HC2UTWJ1JN","HEL-BATCH-078","10","2026-02-12","HS2024-29","3114.00"
"TU0EOR6D6Q4EMJHEZF","HEL-BATCH-079","31","2026-01-01","HS2024-15","1093.00"
"Y1HMGPM4P6TUJYQKB6","HEL-BATCH-080","19","2026-02-25","HS2026-94","1691.00"
